,0,1,2
0,y/image_02239.jpg,3,0
1,y/image_18531.jpg,3,0
2,y/short_catlai_xetofin_1591_xetofin_xetoFail_160332.jpg,3,0
3,y/image_00649.jpg,3,0
4,y/image_22209.jpg,3,0
5,y/image_12225.jpg,3,0
6,y/short_catlai_xetofin_1158_catlai_20221216_111317.jpg,3,0
7,y/image_17265.jpg,3,0
8,y/image_17168.jpg,3,0
9,y/image_22870.jpg,3,0
10,y/image_21644.jpg,3,0
11,y/image_16960.jpg,3,0
12,y/image_01086.jpg,3,0
13,y/image_01657.jpg,3,0
14,y/image_17421.jpg,3,0
15,y/image_04990.jpg,3,0
16,y/image_05158.jpg,3,0
17,y/short_catlai_xetofin_1222_catlai_IMG_2129.jpg,3,0
18,y/image_12766.jpg,3,0
19,y/image_13146.jpg,3,0
20,y/image_09509.jpg,3,0
21,y/image_16214.jpg,3,0
22,y/image_00292.jpg,3,0
23,y/image_19510.jpg,3,0
24,y/image_02041.jpg,3,0
25,y/image_12581.jpg,3,0
26,y/image_12923.jpg,3,0
27,y/image_13718.jpg,3,0
28,y/image_14723.jpg,3,0
29,y/image_20242.jpg,3,0
30,y/image_14166.jpg,3,0
31,y/image_18287.jpg,3,0
32,y/image_04136.jpg,3,0
33,y/image_02712.jpg,3,0
34,y/image_21546.jpg,3,0
35,y/image_11431.jpg,3,0
36,y/image_11530.jpg,3,0
37,y/image_05738.jpg,3,0
38,y/image_07011.jpg,3,0
39,y/image_08962.jpg,3,0
40,y/short_catlai_xetofin_1126_catlai_20221216_105840.jpg,3,0
41,y/image_11682.jpg,3,0
42,y/image_07663.jpg,3,0
43,y/image_07329.jpg,3,0
44,y/short_catlai_xetofin_0960_catlai_20221216_101401.jpg,3,0
45,y/image_04568.jpg,3,0
46,y/image_01300.jpg,3,0
47,y/image_05152.jpg,3,0
48,y/image_02494.jpg,3,0
49,y/image_12009.jpg,3,0
50,y/short_catlai_xetofin_1610_xetofin_xetoFail_33819.jpg,3,0
51,y/image_18591.jpg,3,0
52,y/image_05493.jpg,3,0
53,y/image_18916.jpg,3,0
54,y/image_00138.jpg,3,0
55,y/image_05406.jpg,3,0
56,y/image_21537.jpg,3,0
57,y/image_13807.jpg,3,0
58,y/image_13422.jpg,3,0
59,y/short_catlai_xetofin_1575_catlai_IMG_E2095.jpg,3,0
60,y/image_09749.jpg,3,0
61,y/image_03684.jpg,3,0
62,y/image_22751.jpg,3,0
63,y/short_97.jpg,3,0
64,y/image_03657.jpg,3,0
65,y/image_17989.jpg,3,0
66,y/image_09074.jpg,3,0
67,y/image_15099.jpg,3,0
68,y/image_19798.jpg,3,0
69,y/image_13303.jpg,3,0
70,y/image_10029.jpg,3,0
71,y/image_20667.jpg,3,0
72,y/image_12938.jpg,3,0
73,y/image_04638.jpg,3,0
74,y/image_13400.jpg,3,0
75,y/image_16172.jpg,3,0
76,y/image_15425.jpg,3,0
77,y/image_17826.jpg,3,0
78,y/image_22654.jpg,3,0
79,y/image_08982.jpg,3,0
80,y/image_12742.jpg,3,0
81,y/image_19327.jpg,3,0
82,y/image_16577.jpg,3,0
83,y/image_13503.jpg,3,0
84,y/image_11896.jpg,3,0
85,y/image_21750.jpg,3,0
86,y/image_10846.jpg,3,0
87,y/image_17980.jpg,3,0
88,y/image_11478.jpg,3,0
89,y/image_13917.jpg,3,0
90,y/image_12773.jpg,3,0
91,y/image_04600.jpg,3,0
92,y/image_00844.jpg,3,0
93,y/image_22898.jpg,3,0
